,cropID,med_prices,m_p,gate_p
0,,,0.0,0.0
1,Avocado,114.28571428571429,0.0,0.0
2,Banana beer,80.35714285714286,0.0,0.0
3,Banana food,200.0,10000.0,6000.0
4,Banana food,200.0,7000.0,5000.0
5,Banana food,200.0,3000.0,3000.0
6,Banana food,200.0,1000.0,2000.0
7,Banana sweet,166.66666666666666,0.0,0.0
8,Beans,983.3333333333333,1000.0,500.0
9,Beans,983.3333333333333,1200.0,700.0
10,Bush,,0.0,0.0
11,Cabbage,200.0,0.0,0.0
12,Cassava,250.0,1000.0,1000.0
13,Cassava,250.0,800.0,725.0
14,Chick peas,416.0,0.0,0.0
15,Coco yam,,0.0,0.0
16,Cocoa,2466.6666666666665,0.0,0.0
17,Coffee all,500.0,0.0,0.0
18,Cotton,775.0,0.0,0.0
19,Cow peas,800.0,0.0,0.0
20,Dodo,222.22222222222223,200.0,200.0
21,Eggplants,300.0,0.0,0.0
22,Fallow,,0.0,0.0
23,Field peas,1000.0,0.0,0.0
24,Finger millet,800.0,1000.0,750.0
25,Ginger,566.6666666666666,0.0,0.0
26,Groundnuts,500.0,350.0,500.0
27,Groundnuts,500.0,1050.0,1225.0
28,Groundnuts,500.0,2250.0,1200.0
29,Improved pastures,,0.0,0.0
30,Irish potatoes,333.3333333333333,0.0,0.0
31,Jackfruit,1000.0,0.0,0.0
32,Maize,428.57142857142856,700.0,300.0
33,Maize,428.57142857142856,200.0,200.0
34,Maize,428.57142857142856,1200.0,1000.0
35,Mango,70.83333333333333,300.0,200.0
36,Natural forest trees,,0.0,0.0
37,Natural pastures,,0.0,0.0
38,Oil palm,,0.0,0.0
39,Onions,944.4444444444445,200.0,200.0
40,Oranges,250.0,0.0,0.0
41,Other,225.0,0.0,0.0
42,Other forest trees,4000.0,0.0,0.0
43,Passion fruit,450.0,800.0,400.0
44,Paw paw,130.83333333333331,0.0,0.0
45,Pigeon peas,1000.0,0.0,0.0
46,Pineapples,300.0,100.0,0.0
47,Plantation trees,1750.0,0.0,0.0
48,Pumpkins,3000.0,0.0,0.0
49,Rice,865.0,2000.0,1200.0
50,Simsim,1766.6666666666667,600.0,600.0
51,Sorghum,500.0,500.0,500.0
52,Soya beans,700.0,0.0,0.0
53,Sugarcane,200.0,0.0,0.0
54,Sunflower,425.0,0.0,0.0
55,Sweet potatoes,240.0,1000.0,1000.0
56,Sweet potatoes,240.0,1000.0,1500.0
57,Sweet potatoes,240.0,1000.0,2000.0
58,Tea,250.0,100.0,100.0
59,Tobacco,2366.666666666667,0.0,0.0
60,Tomatoes,666.6666666666666,200.0,200.0
61,Vanilla,1860.655737704918,0.0,0.0
62,Wheat,1000.0,0.0,0.0
63,Yam,200.0,0.0,0.0
