code,m_p,gate_p
100,1200.0,2000.0
101,10000.0,6000.0
102,7000.0,5000.0
103,3000.0,3000.0
104,1000.0,2000.0
105,1000.0,1000.0
106,1000.0,1500.0
107,1000.0,1000.0
108,800.0,725.0
109,1000.0,2000.0
110,2000.0,1200.0
111,700.0,300.0
112,200.0,200.0
113,1200.0,1000.0
114,1200.0,2100.0
115,1000.0,750.0
116,500.0,500.0
117,4500.0,4000.0
118,3600.0,3000.0
119,4500.0,5000.0
120,3000.0,6500.0
121,7500.0,6000.0
122,1500.0,1250.0
123,1500.0,500.0
124,200.0,200.0
125,500.0,450.0
126,5000.0,4800.0
127,200.0,100.0
128,500.0,3000.0
129,1700.0,
130,800.0,400.0
131,500.0,1000.0
132,300.0,200.0
133,500.0,200.0
134,500.0,500.0
135,200.0,200.0
136,200.0,200.0
137,500.0,400.0
138,200.0,200.0
139,200.0,200.0
140,1000.0,500.0
141,1200.0,700.0
142,350.0,500.0
143,1050.0,1225.0
144,2250.0,1200.0
145,800.0,500.0
146,600.0,600.0
147,2400.0,2400.0
148,100.0,500.0
149,100.0,100.0
150,400.0,400.0
151,650.0,600.0
152,1500.0,1500.0
153,500.0,500.0
154,500.0,1100.0
155,100.0,100.0
156,100.0,100.0
157,,
158,600.0,700.0
159,1850.0,2000.0
160,,
161,,
170,100.0,
